vk sc german layer3 layer4
DC 029 ^ 
31 002 1 ¹
32 003 2 ²
33 004 3 ³
34 005 4 ›
35 006 5 ‹
36 007 6 ¢
37 008 7 ¥
38 009 8 ‚
39 00A 9 ‘
30 00B 0 ’
DB 00C ß 
DD 00D ´ 
51 010 Q … PgUp
57 011 W _ Backspace
45 012 E [ Up
52 013 R ] Delete
54 014 T ^ PgDn
5A 015 Z !
55 016 U <
49 017 I >
4F 018 O =
50 019 P &
BA 01A ü ſ
BB 01B + 
41 01E A \ Home
53 01F S / Left
44 020 D { Down
46 021 F } Right
47 022 G * End
48 023 H ? Left
4A 024 J ( Down
4B 025 K ) Up
4C 026 L - Right
C0 027 ö :
DE 028 ä @
BF 02B # 
E2 056 < 
59 02C Y # Esc
58 02D X $ Tab
43 02E C |
56 02F V ~ Enter
42 030 B `
4E 031 N +
4D 032 M %
BC 033 , "
BE 034 . '
BD 035 - ;
